,Chunk ID,Concept ID,Source Page,Chunk Text Content
10,CH011,C001,12,"JAVA PROGRAMMING Page 5 Features of Java There is given many features of java. They are also known as java buzzwords. The Java Features given below are simple and easy to understand. 1. Simple 2. Object-Oriented 3. Portable 4. Platform independent 5. Secured 6. Robust 7. Architecture neutral 8. Dynamic 9. Interpreted 10. High Performance 11. Multithreaded 12. Distributed Java Comments The java comments are statements that are not executed by the compiler and interpreter. The comments can be used to provide information or explanation about the variable, method, class or any statement. It can also be used to hide program code for specific time. Types of Java Comments There are 3 types of comments in java. 1. Single Line Comment 2. Multi Line Comment 3. Documentation Comment Java Single Line Comment The single line comment is used to comment only one line. Syntax: 1. //This is single line comment"
11,CH012,C001,13,"JAVA PROGRAMMING Page 6 10 10 Example: public class CommentExample1 { public static void main(String[] args) { int i=10;//Here, i is a variable System.out.println(i); } } Output: Java Multi Line Comment The multi line comment is used to comment multiple lines of code. Syntax: /* This is multi line comment */ Example: public class CommentExample2 { public static void main(String[] args) { /* Let's declare and print variable in java. */ int i=10; System.out.println(i); } } Output:"
12,CH013,C001,14,"JAVA PROGRAMMING Page 7 javac Calculator.java javadoc Calculator.java Java Documentation Comment The documentation comment is used to create documentation API. To create documentation API, you need to use javadoc tool. Syntax: /** This is documentation comment */ Example: /** The Calculator class provides methods to get addition and subtraction of given 2 numbers.*/ public class Calculator { /** The add() method returns addition of given numbers.*/ public static int add(int a, int b){return a+b;} /** The sub() method returns subtraction of given numbers.*/ public static int sub(int a, int b){return a-b;} } Compile it by javac tool: Create Documentation API by javadoc tool: Now, there will be HTML files created for your Calculator class in the current directory. Open the HTML files and see the explanation of Calculator class provided through documentation comment."
13,CH014,C001,15,"JAVA PROGRAMMING Page 8 Data Types Data types represent the different values to be stored in the variable. In java, there are two types of data types: o Primitive data types o Non-primitive data types Data Type Default Value Default size boolean False 1 bit char '\u0000' 2 byte byte 0 1 byte short 0 2 byte int 0 4 byte long 0L 8 byte float 0.0f 4 byte double 0.0d 8 byte Java Variable Example: Add Two Numbers class Simple{ public static void main(String[] args){ int a=10; int b=10; int c=a+b; System.out.println(c); }} Output:20"
14,CH015,C001,16,"JAVA PROGRAMMING Page 9 Constants in Java A constant is a variable which cannot have its value changed after declaration. It uses the 'final' keyword. Syntax modifier final dataType variableName = value; //global constant modifier static final dataType variableName = value; //constant within a c Variables and Data Types in Java Variable is a name of memory location. There are three types of variables in java: local, instance and static. There are two types of data types in java: primitive and non-primitive. Types of Variable There are three types of variables in java: o local variable o instance variable o static variable 1) Local Variable A variable which is declared inside the method is called local variable. 2) Instance Variable A variable which is declared inside the class but outside the method, is called instance variable . It is not declared as static. 3) Static variable A variable that is declared as static is called static variable. It cannot be local. We will have detailed learning of these variables in next chapters. Example to understand the types of variables in java class A{ int data=50;//instance variable static int m=100;//static variable void method(){ int n=90;//local variable } }//end of class"
15,CH016,C001,17,"JAVA PROGRAMMING Page 10 Scope and Life Time of Variables The scope of a variable defines the section of the code in which the variable is visible. As a general rule, variables that are defined within a block are not accessible outside that block. The lifetime of a variable refers to how long the variable exists before it is destroyed. Destroying variables refers to deallocating the memory that was allotted to the variables when declaring it. We have written a few classes till now. You might have observed that not all variables are the same. The ones declared in the body of a method were different from those that were declared in the class itself. There are three types of variables: instance variables, formal parameters or local variables and local variables. Instance variables Instance variables are those that are defined within a class itself and not in any method or constructor of the class. They are known as instance variables because every instance of the class (object) contains a copy of these variables. The scope of instance variables is determined by the access specifier that is applied to these variables. We have already seen about it earlier. The lifetime of these variables is the same as the lifetime of the object to which it belongs. Object once created do not exist for ever. They are destroyed by the garbage collector of Java when there are no more reference to that ob ject. We shall see about Java's automatic garbage collector later on. Argument variables These are the variables that are defined in the header oaf constructor or a method. The scope of these variables is the method or constructor in which they are defined. The lifetime is limited to the time for which the method keeps executing. Once the method finishes execution, these variables are destroyed. Local variables A local variable is the one that is declared within a method or a constructor (not in the header). The scope and lifetime are limited to the method itself. One important distinction between these three types of variables is that access specifiers can be applied to instance variables only and not to argument or local variables. In addition to the local variables defined in a method, we also have variables that are defined in bocks life an if block and an else block. The scope and is the same as that of the block itself."
16,CH017,C001,20,"JAVA PROGRAMMING Page 13 Output: WINTER SPRING SUMMER FALL    Java Enum Enum in java is a data type that contains fixed set of constants. It can be used for days of the week (SUNDAY, MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY and SATURDAY) , directions (NORTH, SOUTH, EAST and WEST) etc. The java enum constants are static and final implicitly. It is available from JDK 1.5. Java Enums can be thought of as classes that have fixed set of constants. Simple example of java enum class EnumExample1{ public enum Season { WINTER, SPRING, SUMMER, FALL } public static void main(String[] args) { for (Season s : Season.values()) System.out.println(s); }} Control Flow Statements The control flow statements in Java allow you to run or skip blocks of code when special conditions are met. The “if” Statement The “if” statement in Java works exactly like in most programming languages. With the help of “if” you can choose to execute a specific block of code when a predefined condition is met. The structure of the “if” statement in Java looks like this: if (condition) { // execute this code }"
17,CH018,C001,21,"JAVA PROGRAMMING Page 14 The condition is Boolean. Boolean means it may be true or false. For example you may put a mathematical equation as condition. Look at this full example: Creating a Stand-Alone Java Application 1. Write a main method that runs your program. You can write this method anywhere. In this example, I'll write my main method in a class called Main that has no other methods. For example: 2. public class Main 3. { 4. public static void main(String[] args) 5. { 6. Game.play(); 7. } } 8. Make sure your code is compiled, and that you have tested it thoroughly. 9. If you're using Windows, you will need to set your path to include Java, if you haven't done so already. This is a delicate operation. Open Explorer, and look inside C:\ProgramFiles\Java, and you should see some version of the JDK. Open this folder, and then open the bin folder. Select the complete path from the top of the Explorer window, and press Ctrl-C to copy it. Next, find the ""My Computer"" icon (on your Start menu or desktop), right-click it, and select properties. Click on the Advanced tab, and then click on the Environment variables button. Look at the variables listed for all users, and click on the Path variable. Do not delete the contents of this variable! Instead, edit the contents by moving the cursor to the right end, entering a semicolon (;), and pressing Ctrl-V to paste the path you copied earlier. Then go ahead and save your changes. (If you have any Cmd windows open, you will need to close them.) 10. If you're using Windows, go to the Start menu and type ""c md"" to run a program that brings up a command prompt window. If you're using a Mac or Linux machine, run the Terminal program to bring up a command prompt. 11. In Windows, type dir at the command prompt to list the contents of the current directory. On a Mac or Linux machine, type ls to do this."
18,CH019,C001,22,"JAVA PROGRAMMING Page 15 dataType[] arrayRefVar; // preferred way. or dataType arrayRefVar[]; // works but not preferred way. 12. Now we want to change to the directory/folder that contains your compiled code. Look at the listing of sub-directories within this directory, and identify which one contains yourcode. Type cd followed by the name of that directory, to change to that directory. For example, to change to a directory called Desktop, you would type: cd Desktop To change to the parent directory, type: cd .. Every time you change to a new directory, list the contents of that directory to see where to go next. Continue listing and changing directories until you reach the directory that contains your .class files. 13. If you compiled your program using Java 1.6, but plan to run it on a Mac, you'll need to recompile your code from the command line, by typing: javac -target 1.5 *.java 14. Now we'll create a single JAR file containing all of the files needed to run your program. Arrays Java provides a data structure, the array, which stores a fixed-size sequential collection of elements of the same type. An array is used to store a collection of data, but it is often more useful to think of an array as a collection of variables of the same type. Instead of declaring individual variables, such as number0, number1, ..., and number99, you declare one array variable such as numbers and use numbers[0], numbers[1], and ..., numbers[99] to represent individual variables. This tutorial introduces how to declare array variables, create arrays, and proce ss arrays using indexed variables. Declaring Array Variables: To use an array in a program, you must declare a variable to reference the array, and you must specify the type of array the variable can reference. Here is the syntax for declaring an array variable: Note: The style dataType[] arrayRefVar is preferred. The style dataType arrayRefVar[] comes from the C/C++ language and was adopted in Java to accommodate C/C++ programmers. Example:"
19,CH020,C001,24,"JAVA PROGRAMMING Page 17 public class TestArray { public static void main(String[] args) { double[] myList = {1.9, 2.9, 3.4, 3.5}; // Print all the array elements for (int i = 0; i < myList.length; i++) { System.out.println(myList[i] + "" ""); } // Summing all elements double total = 0; for (int i = 0; i < myList.length; i++) { total += myList[i]; } System.out.println(""Total is "" + total); // Finding the largest element double max = myList[0]; for (int i = 1; i < myList.length; i++) { if (myList[i] > max) max = myList[i]; } System.out.println(""Max is "" + max); } } Processing Arrays: When processing array elements, we often use either for loop or for each loop because all of the elements in an array are of the same type and the size of the array is known. Example: Here is a complete example of showing how to create, initialize and process arrays:"
20,CH021,C001,25,"JAVA PROGRAMMING Page 18 1.9 2.9 3.4 3.5 Total is 11.7 Max is 3.5 This would produce the following result: public class TestArray { public static void main(String[] args) { double[] myList = {1.9, 2.9, 3.4, 3.5}; // Print all the array elements for (double element: myList) { System.out.println(element); }}} Java Console Class The Java Console class is be used to get input from console. It provides methods to read texts and passwords. If you read password using Console class, it will not be displayed to the user. The java.io.Console class is attached with system console internally. The Console class is introduced since 1.5. Let's see a simple example to read text from console. 1. String text=System.console().readLine(); 2. System.out.println(""Text is: ""+text); Java Console Example import java.io.Console; class ReadStringTest{ public static void main(String args[]){ Console c=System.console(); System.out.println(""Enter your name: ""); String n=c.readLine(); System.out.println(""Welcome ""+n); } }"
21,CH022,C001,26,"JAVA PROGRAMMING Page 19 Enter your name: Nakul Jain Welcome Nakul Jain Output: Bike is created Output Constructors Constructor in java is a special type of method that is used to initialize the object. Java constructor is invoked at the time of object creation. It constructs the values i.e. provides data for the object that is why it is known as constructor. There are basically two rules defined for the constructor. 1. Constructor name must be same as its class name 2. Constructor must have no explicit return type Types of java constructors There are two types of constructors: 1. Default constructor (no-arg constructor) 2. Parameterized constructor Java Default Constructor A constructor that have no parameter is known as default constructor. Syntax of default constructor: 1. <class_name>(){} Example of default constructor In this example, we are creating the no-arg constructor in the Bike class. It will be invoked at the time of object creation. class Bike1{ Bike1(){System.out.println(""Bike is created"");} public static void main(String args[]){ Bike1 b=new Bike1(); } }"
22,CH023,C001,27,"JAVA PROGRAMMING Page 20 111 Karan 222 Aryan Example of parameterized constructor In this example, we have created the constructor of Student class that have two parameters. We can have any number of parameters in the constructor. class Student4{ int id; String name; Student4(int i,String n){ id = i; name = n; } void display(){System.out.println(id+"" ""+name);} public static void main(String args[]){ Student4 s1 = new Student4(111,""Karan""); Student4 s2 = new Student4(222,""Aryan""); s1.display(); s2.display(); } } Output: Constructor Overloading in Java Constructor overloading is a technique in Java in which a class can have any number of constructors that differ in parameter lists.The compiler differentiates these constructors by taking into account the number of parameters in the list and their type. Example of Constructor Overloading class Student5{ int id; String name; int age; Student5(int i,String n){ id = i; name = n; } Student5(int i,String n,int a){ id = i; name = n; age=a; } void display(){System.out.println(id+"" ""+name+"" ""+age);} public static void main(String args[]){ Student5 s1 = new Student5(111,""Karan""); Student5 s2 = new Student5(222,""Aryan"",25); s1.display();"
23,CH024,C001,28,"JAVA PROGRAMMING Page 21 111 Karan 0 222 Aryan 25 111 Karan 111 Karan s2.display(); } } Output: Java Copy Constructor There is no copy constructor in java. But, we can copy the values of one object to another like copy constructor in C++. There are many ways to copy the values of one object into another in java. They are: oBy constructor oBy assigning the values of one object into another oBy clone() method of Object class In this example, we are going to copy the values of one object into another using java constructor. class Student6{ int id; String name; Student6(int i,String n){ id = i; name = n; } Student6(Student6 s){ id = s.id; name =s.name; } void display(){System.out.println(id+"" ""+name);} public static void main(String args[]){ Student6 s1 = new Student6(111,""Karan""); Student6 s2 = new Student6(s1); s1.display(); s2.display(); } } Output:"
24,CH025,C001,30,"JAVA PROGRAMMING Page 23 Output:before change 50 after change 50  Parameter List − The list of parameters, it is the type, order, and number of parameters of a method. These are optional, method may contain zero parameters.  method body − The method body defines what the method does with the statements. Call by Value and Call by Reference in Java There is only call by value in java, not call by reference. If we call a method passing a value, it is known as call by value. The changes being done in the called method, is not affected in the calling method. Example of call by value in java In case of call by value original value is not changed. Let's take a simple example: class Operation{ int data=50; void change(int data){ data=data+100;//changes will be in the local variable only } public static void main(String args[]){ Operation op=new Operation(); System.out.println(""before change ""+op.data); op.change(500); System.out.println(""after change ""+op.data); } } In Java, parameters are always passed by value. For example, following program prints i = 10, j = 20. // Test.java class Test { // swap() doesn't swap i and j public static void swap(Integer i, Integer j) { Integer temp = new Integer(i); i = j; j = temp; } public static void main(String[] args) { Integer i = new Integer(10); Integer j = new Integer(20); swap(i, j); System.out.println(""i = "" + i + "", j = "" + j);"
25,CH026,C001,31,"JAVA PROGRAMMING Page 24 } } Static Fields and Methods The static keyword in java is used for memory management mainly. We can apply java static keyword with variables, methods, blocks and nested class. The static keyword be longs to the class than instance of the class. The static can be: 1. variable (also known as class variable) 2. method (also known as class method) 3. block 4. nested class Java static variable If you declare any variable as static, it is known static variable. o The static variable can be used to refer the common property of all objects (that is not unique for each object) e.g. company name of employees,college name of students etc. o The static variable gets memory only once in class area at the time of class loading. Advantage of static variable It makes your program memory efficient (i.e it saves memory). Understanding problem without static variable 1. class Student{ 2. int rollno; 3. String name; 4. String college=""ITS""; 5. } Example of static variable //Program of static variable class Student8{ int rollno;"
26,CH027,C001,32,"JAVA PROGRAMMING Page 25 String name; static String college =""ITS""; Student8(int r,String n){ rollno = r; name = n; } void display (){System.out.println(rollno+"" ""+name+"" ""+college);} public static void main(String args[]){ Student8 s1 = new Student8(111,""Karan""); Student8 s2 = new Student8(222,""Aryan""); s1.display(); s2.display(); } } Output:111 Karan ITS 222 Aryan ITS Java static method If you apply static keyword with any method, it is known as static method. o A static method belongs to the class rather than object of a class. o A static method can be invoked without the need for creating an instance of a class. o static method can access static data member and can change the value of it. Example of static method //Program of changing the common property of all objects(static field). class Student9{ int rollno; String name; static String college = ""ITS""; static void change(){ college = ""BBDIT""; } Student9(int r, String n){ rollno = r; name = n;"
27,CH028,C001,33,"JAVA PROGRAMMING Page 26 Output:111 Karan BBDIT 222 Aryan BBDIT 333 Sonoo BBDIT Output: static block is invoked Hello main } void display (){System.out.println(rollno+"" ""+name+"" ""+college);} public static void main(String args[]){ Student9.change(); Student9 s1 = new Student9 ( 111,""Karan""); Student9 s2 = new Student9 ( 222,""Aryan""); Student9 s3 = new Student9 ( 333,""Sonoo""); s1.display(); s2.display(); s3.display(); } } Java static block o Is used to initialize the static data member. o It is executed before main method at the time of class loading. Example of static block class A2{ static{System.out.println(""static block is invoked"");} public static void main(String args[]){ System.out.println(""Hello main""); } } Access Control Access Modifiers in java There are two types of modifiers in java: access modifiers and non-access modifiers. The access modifiers in java specifies accessibility (scope) of a data member, method, constructor or class. There are 4 types of java access modifiers:"
28,CH029,C001,34,"JAVA PROGRAMMING Page 27 1. private 2. default 3. protected 4. public private access modifier The private access modifier is accessible only within class. Simple example of private access modifier In this example, we have created two classes A and Simple. A class contains private data member and private method. We are accessing these private members from outside the class, so there is compile time error. class A{ private int data=40; private void msg(){System.out.println(""Hello java"");} } public class Simple{ public static void main(String args[]){ A obj=new A(); System.out.println(obj.data);//Compile Time Error obj.msg();//Compile Time Error } } 2) default access modifier If you don't use any modifier, it is treated as default bydefault. The default modifier is accessible only within package. Example of default access modifier In this example, we have created two packages pack and mypack. We are accessing the A class from o utside its package, since A class is not public, so it cannot be accessed from outside the package. //save by A.java package pack; class A{ void msg(){System.out.println(""Hello"");} } //save by B.java package mypack; import pack.*;"
29,CH030,C001,35,"JAVA PROGRAMMING Page 28 class B{ public static void main(String args[]){ A obj = new A();//Compile Time Error obj.msg();//Compile Time Error } } In the above example, the scope of class A and its method msg() is default so it cannot be accessed from outside the package. 3) protected access modifier The protected access modifier is accessible within package and outside the package but through inheritance only. The protected access modifier can be applied on the data member, method and constructor. It can't be applied on the class. Example of protected access modifier In this example, we have created the two packages pack and mypack. The A class of pack package is public, so can be accessed from outside the package. But msg method of this package is declared as protected, so it can be accessed from outside the class only through inheritance. //save by A.java package pack; public class A{ protected void msg(){System.out.println(""Hello"");} } //save by B.java package mypack; import pack.*; class B extends A{ public static void main(String args[]){ B obj = new B(); obj.msg(); } } Output:Hello 4) public access modifier The public access modifier is accessible everywhere. It has the widest scope among all other modifiers."
30,CH031,C001,36,"JAVA PROGRAMMING Page 29 Example of public access modifier //save by A.java package pack; public class A{ public void msg(){System.out.println(""Hello"");} } //save by B.java package mypack; import pack.*; class B{ public static void main(String args[]){ A obj = new A(); obj.msg(); } } Output:Hello Understanding all java access modifiers Let's understand the access modifiers by a simple table. Access Modifier within class within package outside package by subclass only outside package Private Y N N N Default Y Y N N Protected Y Y Y N Public Y Y Y Y this keyword in java Usage of java this keyword Here is given the 6 usage of java this keyword. 1. this can be used to refer current class instance variable. 2. this can be used to invoke current class method (implicitly) 3. this() can be used to invoke current class constructor."
31,CH032,C001,37,"JAVA PROGRAMMING Page 30 Java Constructor Java Method 4. this can be passed as an argument in the method call. 5. this can be passed as argument in the constructor call. 6. this can be used to return the current class instance from the method. class Student{ int rollno; String name; float fee; Student(int rollno,String name,float fee){ this.rollno=rollno; this.name=name; this.fee=fee; } void display(){System.out.println(rollno+"" ""+name+"" ""+fee);} } class TestThis2{ public static void main(String args[]){ Student s1=new Student(111,""ankit"",5000f); Student s2=new Student(112,""sumit"",6000f); s1.display(); s2.display(); }} Output: 111 ankit 5000 112 sumit 6000 Difference between constructor and method in java Constructor is used to initialize the state of an object. Method is used to expose behaviour of an object. Constructor must not have return type. Method must have return type. Constructor is invoked implicitly. Method is invoked explicitly. The java compiler provides a default constructor if you don't have any constructor. Method is not provided by compiler in any case. Constructor name must be same as the class name. Method name may or may not be"
32,CH033,C001,38,"JAVA PROGRAMMING Page 31 same as class name. There are many differences between constructors and methods. They are given belo Constructor Overloading in Java Constructor overloading is a technique in Java in which a class can have any number of constructors that differ in parameter lists.The compiler differentiates these constructors by taking into account the number of parameters in the list and their type. Example of Constructor Overloading class Student5{ int id; String name; int age; Student5(int i,String n){ id = i; name = n; } Student5(int i,String n,int a){ id = i; name = n; age=a; } void display(){System.out.println(id+"" ""+name+"" ""+age);} public static void main(String args[]){ Student5 s1 = new Student5(111,""Karan""); Student5 s2 = new Student5(222,""Aryan"",25); s1.display(); s2.display(); } } Output:"
