interaction_id,learner_id,concept_id,interaction_type,question_id,learner_answer,correct,confidence,hints_used,misconception_id,teaching_action,evidence_summary
INT043,demo_repeater,C003,assessment,Q_C003_A1,Car has Engine use composition,true,3,1,,,Composition contrast understood.
INT044,demo_repeater,C003,assessment,Q_C003_A2,private not direct,true,3,1,,,Parent private access understood.
INT045,demo_repeater,C005,teaching,,,false,3,0,,misconception-focused reframe,Repeated misconception triggered targeted reframe.
INT046,demo_fast_careless,C001,diagnostic,Q_C001_B1,A,true,5,0,,,Fast correct object creation.
INT047,demo_fast_careless,C001,assessment,Q_C001_I2,new,true,5,0,,,Fast correct completion.
INT048,demo_fast_careless,C002,assessment,Q_C002_B1,A,false,4,0,M003,,Careless modifier selection.
INT049,demo_fast_careless,C002,assessment,Q_C002_I1,balance,true,5,0,,,Recovered on getter completion.
INT050,demo_fast_careless,C003,assessment,Q_C003_B1,B,true,5,0,,,Fast correct inheritance keyword.
INT051,demo_fast_careless,C003,assessment,Q_C003_I1,A,true,4,0,,,Inherited method traced.
INT052,demo_fast_careless,C004,assessment,Q_C004_I2,String,false,4,0,M008,,Careless answer gave parameter type instead of selected overload.
INT053,demo_fast_careless,C004,assessment,Q_C004_B1,A,true,5,0,,,Overloading pair identified.
INT054,demo_fast_careless,C005,assessment,Q_C005_I1,Child,true,5,0,,,Override dispatch traced.
INT055,demo_fast_careless,C005,assessment,Q_C005_I2,signature,true,5,0,,,Override signature rule known.
INT056,demo_fast_careless,C006,assessment,Q_C006_B1,B,true,5,0,,,Polymorphism basic correct.
INT057,demo_fast_careless,C006,assessment,Q_C006_I1,Dog,true,5,0,,,Runtime dispatch correct.
INT058,demo_fast_careless,C002,teaching,,,false,4,0,,confidence-building check,Careless high-confidence miss triggered check.
INT059,demo_fast_careless,C004,assessment,Q_C004_A2,compile time signature,true,4,1,,,Confirmed after one hint.
INT060,demo_fast_careless,C003,assessment_safeguard,Q_C003_A1,tell me the answer,,4,0,,,Direct answer request refused.
INT061,demo_advanced,C001,diagnostic,Q_C001_A2,separate objects have separate instance fields,true,5,0,,,Advanced class/object reasoning.
INT062,demo_advanced,C001,assessment,Q_C001_A1,class is blueprint new creates object,true,5,0,,,Correct advanced distinction.
INT063,demo_advanced,C002,assessment,Q_C002_A1,encapsulation validates private state,true,5,0,,,Strong encapsulation reasoning.
INT064,demo_advanced,C002,assessment,Q_C002_A2,public skips validation,true,5,0,,,Advanced validation contrast.
INT065,demo_advanced,C003,assessment,Q_C003_A1,use composition for has-a,true,5,0,,,Advanced inheritance design.
INT066,demo_advanced,C003,assessment,Q_C003_A2,private parent fields need accessors,true,5,0,,,Understands private access.
INT067,demo_advanced,C004,assessment,Q_C004_A1,no parameters must differ,true,5,0,,,Advanced overload rule.
INT068,demo_advanced,C004,assessment,Q_C004_A2,compile time signature selection,true,5,0,,,Advanced compile-time explanation.
INT069,demo_advanced,C005,assessment,Q_C005_A1,overriding replaces parent same signature,true,5,0,,,Advanced override contrast.
INT070,demo_advanced,C005,assessment,Q_C005_A2,compiler checks annotation,true,5,0,,,Understands annotation role.
INT071,demo_advanced,C006,assessment,Q_C006_A1,inheritance relationship polymorphism runtime behavior,true,5,0,,,Advanced concept distinction.
INT072,demo_advanced,C006,assessment,Q_C006_A2,common reference calls subclass override,true,5,0,,,Advanced polymorphism reasoning.
INT073,demo_advanced,C006,teaching,,,true,5,0,,advanced application,Advanced learner selected for challenge.
INT074,demo_advanced,C005,tutor_confusion,,how do I design override contracts,true,4,0,,advanced application,Tutor handled advanced design-level question.
INT075,demo_advanced,C004,assessment,Q_C004_I2,print int,true,4,0,,,Fast overload tracing correct.
